"HospitalAdmitRateDateRange","SevDayHospAdmitCount","SevDayHospAdmitRatePer100K","Population"
"2021-08-08  to  2021-08-14",860,11.23000,7656200
"2021-08-09  to  2021-08-15",905,11.82000,7656200
"2021-08-10  to  2021-08-16",952,12.43000,7656200
"2021-08-11  to  2021-08-17",1027,13.41000,7656200
"2021-08-12  to  2021-08-18",1031,13.47000,7656200
"2021-08-13  to  2021-08-19",1088,14.21000,7656200
"2021-08-14  to  2021-08-20",1198,15.65000,7656200
"2021-08-15  to  2021-08-21",1269,16.57000,7656200
"2021-08-16  to  2021-08-22",1271,16.60000,7656200
"2021-08-17  to  2021-08-23",1316,17.19000,7656200
"2021-08-18  to  2021-08-24",1294,16.90000,7656200
"2021-08-19  to  2021-08-25",1398,18.26000,7656200
"2021-08-20  to  2021-08-26",1390,18.16000,7656200
"2021-08-21  to  2021-08-27",1399,18.27000,7656200
"2021-08-22  to  2021-08-28",1429,18.66000,7656200
"2021-08-23  to  2021-08-29",1486,19.41000,7656200
"2021-08-24  to  2021-08-30",1478,19.30000,7656200
"2021-08-25  to  2021-08-31",1515,19.79000,7656200
"2021-08-26  to  2021-09-01",1497,19.55000,7656200
"2021-08-27  to  2021-09-02",1497,19.55000,7656200
"2021-08-28  to  2021-09-03",1507,19.68000,7656200
"2021-08-29  to  2021-09-04",1512,19.75000,7656200
"2021-08-30  to  2021-09-05",1460,19.07000,7656200
"2021-08-31  to  2021-09-06",1414,18.47000,7656200
"2021-09-01  to  2021-09-07",1404,18.34000,7656200
"2021-09-02  to  2021-09-08",1407,18.38000,7656200
"2021-09-03  to  2021-09-09",1468,19.17000,7656200
"2021-09-04  to  2021-09-10",1465,19.13000,7656200
"2021-09-05  to  2021-09-11",1441,18.82000,7656200
"2021-09-06  to  2021-09-12",1419,18.53000,7656200
"2021-09-07  to  2021-09-13",1428,18.65000,7656200
"2021-09-08  to  2021-09-14",1385,18.09000,7656200
"2021-09-09  to  2021-09-15",1310,17.11000,7656200
"2021-09-10  to  2021-09-16",1231,16.08000,7656200
"2021-09-11  to  2021-09-17",1183,15.45000,7656200
"2021-09-12  to  2021-09-18",1122,14.65000,7656200
"2021-09-13  to  2021-09-19",1106,14.45000,7656200
"2021-09-14  to  2021-09-20",1088,14.21000,7656200
"2021-09-15  to  2021-09-21",1071,13.99000,7656200
"2021-09-16  to  2021-09-22",1011,13.20000,7656200
"2021-09-17  to  2021-09-23",987,12.89000,7656200
"2021-09-18  to  2021-09-24",970,12.67000,7656200
"2021-09-19  to  2021-09-25",976,12.75000,7656200
"2021-09-20  to  2021-09-26",982,12.83000,7656200
"2021-09-21  to  2021-09-27",966,12.62000,7656200
"2021-09-22  to  2021-09-28",961,12.55000,7656200
"2021-09-23  to  2021-09-29",1010,13.19000,7656200
"2021-09-24  to  2021-09-30",1017,13.28000,7656200
"2021-09-25  to  2021-10-01",1007,13.15000,7656200
"2021-09-26  to  2021-10-02",1002,13.09000,7656200
"2021-09-27  to  2021-10-03",980,12.80000,7656200
"2021-09-28  to  2021-10-04",971,12.68000,7656200
"2021-09-29  to  2021-10-05",976,12.75000,7656200
"2021-09-30  to  2021-10-06",954,12.46000,7656200
"2021-10-01  to  2021-10-07",935,12.21000,7656200
"2021-10-02  to  2021-10-08",963,12.58000,7656200
"2021-10-03  to  2021-10-09",927,12.11000,7656200
"2021-10-04  to  2021-10-10",923,12.06000,7656200
"2021-10-05  to  2021-10-11",915,11.95000,7656200
"2021-10-06  to  2021-10-12",908,11.86000,7656200
"2021-10-07  to  2021-10-13",895,11.69000,7656200
"2021-10-08  to  2021-10-14",895,11.69000,7656200
"2021-10-09  to  2021-10-15",853,11.14000,7656200
"2021-10-10  to  2021-10-16",872,11.39000,7656200
"2021-10-11  to  2021-10-17",880,11.49000,7656200
"2021-10-12  to  2021-10-18",847,11.06000,7656200
"2021-10-13  to  2021-10-19",789,10.31000,7656200
"2021-10-14  to  2021-10-20",763,9.97000,7656200
"2021-10-15  to  2021-10-21",726,9.48000,7656200
"2021-10-16  to  2021-10-22",738,9.64000,7656200
"2021-10-17  to  2021-10-23",736,9.61000,7656200
"2021-10-18  to  2021-10-24",716,9.35000,7656200
"2021-10-19  to  2021-10-25",724,9.46000,7656200
"2021-10-20  to  2021-10-26",785,10.25000,7656200
"2021-10-21  to  2021-10-27",797,10.41000,7656200
"2021-10-22  to  2021-10-28",816,10.66000,7656200
"2021-10-23  to  2021-10-29",812,10.61000,7656200
"2021-10-24  to  2021-10-30",778,10.16000,7656200
"2021-10-25  to  2021-10-31",773,10.10000,7656200
"2021-10-26  to  2021-11-01",775,10.12000,7656200
"2021-10-27  to  2021-11-02",725,9.47000,7656200
"2021-10-28  to  2021-11-03",752,9.82000,7656200
"2021-10-29  to  2021-11-04",785,10.25000,7656200
"2021-10-30  to  2021-11-05",779,10.17000,7656200
"2021-10-31  to  2021-11-06",808,10.55000,7656200
"2021-11-01  to  2021-11-07",813,10.62000,7656200
"2021-11-02  to  2021-11-08",799,10.44000,7656200
"2021-11-03  to  2021-11-09",794,10.37000,7656200
"2021-11-04  to  2021-11-10",761,9.94000,7656200
"2021-11-05  to  2021-11-11",729,9.52000,7656200
"2021-11-06  to  2021-11-12",711,9.29000,7656200
"2021-11-07  to  2021-11-13",691,9.03000,7656200
"2021-11-08  to  2021-11-14",681,8.89000,7656200
"2021-11-09  to  2021-11-15",695,9.08000,7656200
"2021-11-10  to  2021-11-16",678,8.86000,7656200
"2021-11-11  to  2021-11-17",681,8.89000,7656200
